Term 1	Term 2	Term 3	Frequency of Trigram	Frequency of Context	Conditional Probability of Trigram
$	bruh	#	2	2	1.0
$	urs	?	2	2	1.0
de	eso	,	2	6	0.3333333333333333
Que	tal	tu	2	13	0.15384615384615385
de	semana	?	2	5	0.4
semana	?	#	2	2	1.0
Yo	no	sé	2	5	0.4
la	voy	a	2	2	1.0
voy	a	sacar	2	19	0.10526315789473684
después	de	que	2	7	0.2857142857142857
de	mis	abuelos	2	3	0.6666666666666666
los	pies	?	2	2	1.0
pies	?	#	2	2	1.0
pulgar	del	pie	2	2	1.0
No	sé	cómo	2	3	0.6666666666666666
yo	tengo	que	2	5	0.4
,	entonces	no	2	5	0.4
en	casa	de	2	3	0.6666666666666666
de	mi	papá	2	9	0.2222222222222222
$	y	pues	2	50	0.04
$	por	suerte	2	17	0.11764705882352941
la	primera	semana	2	6	0.3333333333333333
tareas	xd	#	2	2	1.0
ya	no	sé	2	9	0.2222222222222222
$	no	he	2	89	0.02247191011235955
estas	?	#	2	2	1.0
de	que	los	2	37	0.05405405405405406
sistemas	computacionales	#	2	2	1.0
lo	que	no	2	28	0.07142857142857142
$	nose	#	2	6	0.3333333333333333
se	supone	que	2	4	0.5
haciendo	tarea	#	2	3	0.6666666666666666
de	tu	foto	2	12	0.16666666666666666
tu	foto	de	2	2	1.0
$	yo	también	2	45	0.044444444444444446
la	escuela	pero	2	20	0.1
todos	mis	compañeros	2	3	0.6666666666666666
me	lo	imaginé	2	11	0.18181818181818182
o	menos	igual	2	9	0.2222222222222222
$	Pero	no	2	34	0.058823529411764705
$	tú	ya	2	23	0.08695652173913043
aún	cuando	no	2	2	1.0
no	sé	que	2	22	0.09090909090909091
$	se	llama	2	32	0.0625
$	cuanto	te	2	4	0.5
así	xd	#	2	2	1.0
$	Same	#	2	4	0.5
favorito	?	#	2	2	1.0
en	algo	más	2	3	0.6666666666666666
$	me	voy	2	58	0.034482758620689655
me	gustan	mucho	2	3	0.6666666666666666
te	pierdes	de	2	2	1.0
te	gusta	la	2	3	0.6666666666666666
$	pero	el	2	57	0.03508771929824561
$	y	ya	2	50	0.04
you	?	#	2	2	1.0
tu	día	?	2	4	0.5
de	que	preocuparse	2	37	0.05405405405405406
que	preocuparse	#	2	2	1.0
$	Ya	se	2	30	0.06666666666666667
No	,	no	2	3	0.6666666666666666
$	Y	para	2	26	0.07692307692307693
$	Lo	bueno	2	8	0.25
Lo	bueno	es	2	2	1.0
estoy	de	acuerdo	2	2	1.0
$	jajjaja	#	2	2	1.0
las	mañanas	#	2	3	0.6666666666666666
a	las	7	2	14	0.14285714285714285
da	tiempo	de	2	2	1.0
$	pero	ya	2	57	0.03508771929824561
pero	ya	no	2	4	0.5
sueños	?	#	2	2	1.0
$	acabo	de	2	2	1.0
no	,	no	2	5	0.4
,	no	le	2	40	0.05
el	día	de	2	8	0.25
$	:/	#	2	2	1.0
$	Igual	y	2	2	1.0
$	Ahora	que	2	5	0.4
que	lo	pienso	2	14	0.14285714285714285
que	mala	onda	2	2	1.0
$	y	que	2	50	0.04
una	verdadera	lástima	2	2	1.0
verdadera	lástima	#	2	2	1.0
Yep	,	me	2	6	0.3333333333333333
voy	a	pasar	2	19	0.10526315789473684
$	Nice	,	2	4	0.5
$	Nice	#	2	4	0.5
No	te	preocupes	2	5	0.4
te	preocupes	#	2	2	1.0
$	oh	#	2	2	1.0
vez	?	#	2	2	1.0
$	have	#	2	2	1.0
$	fun	#	2	2	1.0
me	han	dicho	2	4	0.5
$	oal	#	2	2	1.0
$	Oal	#	2	2	1.0
tal	el	tuyo	2	9	0.2222222222222222
$	si	?	2	11	0.18181818181818182
a	las	8	2	14	0.14285714285714285
$	A	veces	2	22	0.09090909090909091
,	si	no	2	5	0.4
suerte	jajaja	#	2	2	1.0
