Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
voy	#	3	27	0.1111111111111111
mucho	tiempo	3	47	0.06382978723404255
y	pues	3	191	0.015706806282722512
es	como	3	166	0.018072289156626505
en	algo	3	240	0.0125
$	Estamos	3	3186	0.0009416195856873823
al	revés	3	49	0.061224489795918366
suerte	#	3	11	0.2727272727272727
$	jsjs	3	3186	0.0009416195856873823
se	ven	3	139	0.02158273381294964
me	daría	3	304	0.009868421052631578
,	sino	3	525	0.005714285714285714
de	mis	3	499	0.006012024048096192
$	Chale	3	3186	0.0009416195856873823
Es	como	3	24	0.125
para	hoy	3	83	0.03614457831325301
,	fuera	3	525	0.005714285714285714
sale	#	3	6	0.5
desde	la	3	11	0.2727272727272727
$	Sabes	3	3186	0.0009416195856873823
interesante	#	3	5	0.6
$	Los	3	3186	0.0009416195856873823
tu	parte	3	77	0.03896103896103896
parte	#	3	10	0.3
,	solo	3	525	0.005714285714285714
yo	a	3	86	0.03488372093023256
prefieres	?	3	3	1.0
$	aight	3	3186	0.0009416195856873823
tbh	#	3	3	1.0
feo	#	3	9	0.3333333333333333
en	eso	3	240	0.0125
de	hacer	3	499	0.006012024048096192
sé	,	3	31	0.0967741935483871
problema	#	3	8	0.375
$	maybe	3	3186	0.0009416195856873823
le	va	3	32	0.09375
Yo	solo	3	32	0.09375
dos	años	3	26	0.11538461538461539
it	going	3	20	0.15
going	?	3	3	1.0
verdad	#	3	24	0.125
esta	semana	3	8	0.375
A	ti	3	23	0.13043478260869565
hmm	no	3	7	0.42857142857142855
,	quizás	3	525	0.005714285714285714
mi	profesora	3	92	0.03260869565217391
todo	bien	3	33	0.09090909090909091
de	aviación	3	499	0.006012024048096192
caso	#	3	5	0.6
ser	muy	3	24	0.125
aquí	en	3	12	0.25
,	lo	3	525	0.005714285714285714
y	por	3	191	0.015706806282722512
$	tampoco	3	3186	0.0009416195856873823
se	que	3	139	0.02158273381294964
$	ciertamente	3	3186	0.0009416195856873823
lo	hago	3	146	0.02054794520547945
