Term 1	Term 2	Frequency of Bigram	Frequency of context	Conditional Probability of Bigram
con	mi	2	47	0.0425531914893617
estás	#	2	10	0.2
contra	quien	2	2	1.0
el	grupo	2	127	0.015748031496062992
,	integración	2	76	0.02631578947368421
,	desarrollo	2	76	0.02631578947368421
y	eso	2	65	0.03076923076923077
hay	pedo	2	15	0.13333333333333333
$	guiate	2	1206	0.001658374792703151
guiate	con	2	2	1.0
de	PLN	2	157	0.012738853503184714
me	urge	2	61	0.03278688524590164
el	protocolo	2	127	0.015748031496062992
marta	rosa	2	2	1.0
,	porque	2	76	0.02631578947368421
porque	ya	2	7	0.2857142857142857
lo	del	2	74	0.02702702702702703
del	ada	2	26	0.07692307692307693
que	eres	2	211	0.009478672985781991
un	mal	2	20	0.1
mal	hecho	2	11	0.18181818181818182
ando	corrigiendo	2	12	0.16666666666666666
corpus	se	2	3	0.6666666666666666
$	además	2	1206	0.001658374792703151
mira	,	2	5	0.4
solo	#	2	16	0.125
le	moviste	2	23	0.08695652173913043
que	es	2	211	0.009478672985781991
neta	que	2	3	0.6666666666666666
se	#	2	43	0.046511627906976744
rato	veo	2	10	0.2
estaba	#	2	5	0.4
la	noche	2	108	0.018518518518518517
queda	#	2	2	1.0
o	el	2	26	0.07692307692307693
pregunta	#	2	3	0.6666666666666666
la	normalización	2	108	0.018518518518518517
$	apoco	2	1206	0.001658374792703151
el	formato	2	127	0.015748031496062992
la	página	2	108	0.018518518518518517
página	#	2	4	0.5
ada	hizo	2	10	0.2
checo	#	2	3	0.6666666666666666
no	he	2	161	0.012422360248447204
he	visto	2	6	0.3333333333333333
lo	ando	2	74	0.02702702702702703
$	ye	2	1206	0.001658374792703151
ye	#	2	3	0.6666666666666666
pues	mañana	2	26	0.07692307692307693
8:30	#	2	2	1.0
lo	bueno	2	74	0.02702702702702703
bueno	es	2	18	0.1111111111111111
te	diré	2	74	0.02702702702702703
carrearte	en	2	2	1.0
morra	#	2	2	1.0
como	a	2	25	0.08
niño	pendejo	2	2	1.0
en	las	2	76	0.02631578947368421
$	yeah	2	1206	0.001658374792703151
cómprame	boneles	2	5	0.4
boneles	#	2	2	1.0
alitas	#	2	2	1.0
$	simple	2	1206	0.001658374792703151
simple	and	2	2	1.0
and	plain	2	3	0.6666666666666666
plain	#	2	2	1.0
el	ada	2	127	0.015748031496062992
jalan	en	2	2	1.0
back	#	2	6	0.3333333333333333
pero	como	2	44	0.045454545454545456
ahí	se	2	11	0.18181818181818182
se	verá	2	43	0.046511627906976744
verá	#	2	2	1.0
$	🚬	2	1206	0.001658374792703151
nomás	es	2	8	0.25
no	pues	2	161	0.012422360248447204
real	es	2	4	0.5
yo	te	2	29	0.06896551724137931
el	html	2	127	0.015748031496062992
que	hagas	2	211	0.009478672985781991
pido	que	2	3	0.6666666666666666
ahorita	te	2	15	0.13333333333333333
$	ahhh	2	1206	0.001658374792703151
ahhh	,	2	2	1.0
el	mio	2	127	0.015748031496062992
ya	es	2	73	0.0273972602739726
bigrama	o	2	3	0.6666666666666666
o	trigrama	2	26	0.07692307692307693
$	esos	2	1206	0.001658374792703151
cada	vez	2	4	0.5
pura	mamada	2	4	0.5
soy	bambino	1	4	0.25
bambino	#	1	1	1.0
$	dos	1	1206	0.0008291873963515755
dos	cosas	1	3	0.3333333333333333
se	apuesta	1	43	0.023255813953488372
apuesta	algo	1	1	1.0
algo	el	1	11	0.09090909090909091
domingo	?	1	3	0.3333333333333333
foto	con	1	3	0.3333333333333333
la	playera	1	108	0.009259259259259259
playera	del	1	1	1.0
del	rival	1	26	0.038461538461538464
rival	,	1	1	1.0
como	ves	1	25	0.04
ves	?	1	4	0.25
igual	no	1	4	0.25
no	iba	1	161	0.006211180124223602
a	ocurrir	1	119	0.008403361344537815
ocurrir	,	1	1	1.0
,	solo	1	76	0.013157894736842105
solo	hace	1	16	0.0625
falta	la	1	14	0.07142857142857142
del	ame	1	26	0.038461538461538464
ame	#	1	1	1.0
ojalá	que	1	4	0.25
no	🙏	1	161	0.006211180124223602
ewe	,	1	9	0.1111111111111111
,	una	1	76	0.013157894736842105
una	duda	1	19	0.05263157894736842
el	ASDR	1	127	0.007874015748031496
ASDR	,	1	1	1.0
,	hay	1	76	0.013157894736842105
hay	una	1	15	0.06666666666666667
una	clase	1	19	0.05263157894736842
clase	token	1	4	0.25
token	donde	1	1	1.0
donde	debería	1	2	0.5
estar	el	1	7	0.14285714285714285
el	método	1	127	0.007874015748031496
método	.getLiteral	1	1	1.0
.getLiteral	#	1	1	1.0
cómo	lo	1	4	0.25
tienes	definido	1	10	0.1
definido	?	1	1	1.0
te	amo	1	74	0.013513513513513514
amo	we	1	1	1.0
ocupa	ningún	1	3	0.3333333333333333
ningún	otro	1	1	1.0
otro	archivo	1	4	0.25
archivo	verdad	1	2	0.5
la	tarde	1	108	0.009259259259259259
tarde	tienes	1	3	0.3333333333333333
tienes	un	1	10	0.1
un	ratito	1	20	0.05
ratito	libre	1	1	1.0
para	hacerte	1	38	0.02631578947368421
hacerte	llamada	1	2	0.5
llamada	?	1	3	0.3333333333333333
gracias	papu	1	6	0.16666666666666666
papu	#	1	2	0.5
$	oye	1	1206	0.0008291873963515755
oye	we	1	1	1.0
,	crees	1	76	0.013157894736842105
crees	podernos	1	1	1.0
podernos	pasar	1	1	1.0
